title,published_date,source,url
Senjata Makan Tuan! Pelaku Penyiraman Andrie Yunus Diduga Ikut Kena Cairan - MetroTVNews.com,"Wed, 18 Mar 2026 08:02:48 GMT",MetroTVNews.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxPSDhsbkRIdzJHeXZXUkYwQUZLamxKdk9LSmN2TjE0eXNNZlpKLXlpT20tV1gwMXU2QzRfRUlTWUo2aHV1ZGRBUkU1UV9nZkI1TWtWSUppQXZyNlZtVW1jOE5ISGJSRVVRUEZYbGNUU0oyWHZ6SjQxVmdWQVdLS2JWdjl4OFhWcnlILThVa2lrckZKZWFPU2dGcGo4c3ZBemxyVEtCb2IzYkJOcUpyR2VaUG11MG02Zw?oc=5&hl=en-ID&gl=ID&ceid=ID:en
"Kasus Penyiraman Aktivis KontraS Andrie Yunus, Data Pelaku TNI dan Polri Tak Sama - MetroTVNews.com","Wed, 18 Mar 2026 10:42:44 GMT",MetroTVNews.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxQZzQ2dXBuZ19XXzIzTmFNYUtFRXZ3aFB5NE8zb3ZGejFmZUJxZDN5NFBJNzlRUG5DdEsxMHBqUjVvSmVhUlBldkYyOEs2dl9WWDhFekZPNTNpUjdyc3c1cTNSU2dVRDNwbHRTSlIyejF2SE96b3RFRXE2Z3lCNVZMZHZCaW14eE95Vml4ZERnMGI2enM5X3AxUGVTM3dnTjJ6MktRZ05WZTRsVVhRZlVoSUR3X0lHLTlFSWpBWUJXMA?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Menelusuri Jejak Pelaku Penyiraman Air Keras Andrie Yunus - Hukumonline,"Tue, 17 Mar 2026 03:44:02 GMT",Hukumonline,https://news.google.com/rss/articles/CBMisAFBVV95cUxOc0EzanJBX2ZHb19WZW5vREtIdTAwSkJGZ181WnFnMDFNWmhOd3h2QXI0ajhyQXhqelRCTGlCRmtHQjFKakcwQThEUlVCcjVVV0QzOUVtVEpOZDhaVXh4aWtYNU5TbjZuTkM2YnFkZ1JyUVJ2WFA5S3FFM09ob0tQVlVjclFQYUVDN1hfWGRpTHY3ZHJiWmlKWmhVc0JpU091RmJXSllWOUFzcnRRVlJrNQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Kapolri pastikan kepolisian terus tangani kasus penyiraman air keras Andrie Yunus - ANTARA News Ambon,"Wed, 18 Mar 2026 06:55:31 GMT",ANTARA News Ambon,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNT0xwWFh3ME1GSEZfdEI2dW1UMGpuaG0tazFfc0l1YnNVMl83RGZ3NWNhVUJyOWN2dC11TFBwTjlsTXpZVTAxcE5QNHkydnVUaFI5RnNGNDlORkV6dzhlRXBiWTZxS00zQTB0YnZIMWp1b3lMaU1BbnhxajVTYjR5djVtS3h6MkNOZ0NSRTNMWlpLSmhITkpPTGlFTk1ldjJ4Tm42Rmh3Ti1ZN3VsaFFMcWJLcVFMWUNtX1VBNjFtQkc2QdIBxwFBVV95cUxQUl9KUGdnTTQtTXlmaFJULVAzWV9Xa1FBTUJwZ0FDS2dYWHBoV3ZWZGdOMjBaS1ZlRGJUamFCMWg3QjlxMTQ4RmlpR3U2R3R5UWgxdE1iYUI5bE9RcFZCelduUUJXS3NxYWFQWHpOUGlrMlQtbGU2ekU4eUlYR2lEa3dpYVotRVRKUGZMMHM5NHMxVTQ5MWZKcVZLXzlzejZlLUtJOXNRTHc4Zm1vUXRUdTlwTF9RYk4zMW1SSEZ5c19VbDBmV3Jz?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Komisi III DPR Apresiasi Polri Ungkap Pelaku Penyiraman Air Keras Andrie Yunus - detikNews,"Wed, 18 Mar 2026 10:15:43 GMT",detikNews,https://news.google.com/rss/articles/CBMiugFBVV95cUxNLW9Fb3dKazlkMXRWQk5TMGpKVUVPT3o4VGtOMUdfUkVMU0d2T09MUEN6eFlHRHZYYXAwSExtRk1WMjRMVWxFRWVSbF91SWhLMEhVaEozV3N4MHRiNGJ1c2V2aUhMVnpqaC02UTV3WnJzOUN6bzZBdUhIRnpXTjdXbEt6SmdwX0VuSk9HU1hweURUQkR4aVZTekg1eFNTaFoyM29lMkJib2QzZ2E4X29aandjeC1zR2lzVWfSAb8BQVVfeXFMTXhZenlaYlczWlVZb09IeEgxbVhBRkdac2FtbXV3OWhKeGZFVjVMU1BUN1V4YURPNG1HUmZ1aFVBMl9NSVVPamJZX19YZU1tWU5VYkRIazhhVmJ4a1pZcVJPV21Scm5mRW5mbm9UZ2VvOVc2eUtHTjVZbXhrbmpLZFQwLTdNSi05NHcwRnB6enpoV2FhNmw4dVJVQlF5QUtpY0kyMUctR19KZGVfQmZRMl9PZHhQcC1YN3NjNEVLUVU?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Tampang Anggota TNI Penyiram Air Keras ke Andrie Yunus - Kompas.com,"Wed, 18 Mar 2026 07:53:00 GMT",Kompas.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxPOGlicnJzSXB1NkdGd1RUcG43a3BtZU1sTUp6aVNVTjFaandBd3Rra3laTXpYYlVLMnB0Q3NnODd3N0NMZ1R5dURYS1VlemlYdThaZWt3STZxcmtIZVNIdnRFOGw5Wk9INWJjbmtpUlJxaWx4a0RoSVU1YUpjODJqb1pOb2NlcDF3aThZNXBOcVByTldNLUR1YzRsMlhJN3pEdmkwc3Fvc19Va0xGRUhn?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Polisi: Penyerangan Aktivis Andrie Yunus adalah Aksi Terencana - MetroTVNews.com,"Wed, 18 Mar 2026 09:14:18 GMT",MetroTVNews.com,https://news.google.com/rss/articles/CBMipgFBVV95cUxNRFBVSzFjVlRjRklsTUxQZ2pkZGQ3ak1vak9lbWxTZzA1dmtqN29oeHoyX0gwalZwSDlScTNHeUV4b1J0UGludldSX1FUbjJVZjNCazcxb3NFblVaM0JfLWdQcFI2eVlDQ3lVY09xVG9QeTQ2bXpkeVR2NEk1ZHllc3VRMWlPVDVteUFpcjVRWHdtQTViWFNVWXE2ZnpFSDlnWF9ONzhn?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Danpuspom TNI Pastikan Kasus Penyiraman Andrie Yunus Transparan - MetroTVNews.com,"Wed, 18 Mar 2026 08:10:41 GMT",MetroTVNews.com,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNWUZ4bXBOWmxFbFcwZklMblNoc3JMblV2NEdReVZnZHFMem9Bd2tKamZyOUZSWGREcFpITlh1VHZfUnY4aDdub2QxamJUc1lvbGl3R18xMV9TXzBBQXhkbUQ1anVMS0x0dkZwT0tpTVNSZVAxOUx6T3pXdkRtdmNLU05fSWJ1aW1ldzVZU3ppUE12ZGdFLUlmUGhFSXQxTUhWRmlwQk02X3Q?oc=5&hl=en-ID&gl=ID&ceid=ID:en
DPR Sepakat Bentuk Panja Kasus Penyiraman Air Keras Andrie Yunus - Bloomberg Technoz,"Wed, 18 Mar 2026 10:50:00 GMT",Bloomberg Technoz,https://news.google.com/rss/articles/CBMitwFBVV95cUxPaEItVDVNd200WHNQVEFpeWpDS2lnRWhmbF9HbVFMWFlTWHJTSlgwVUhSTG5CcGZ5a2JPUzhhOTFIVnZWZzZmZzAtY3FhZjZLM1NjemJEbEpzRURSZHFVczY0YkJnVWFCWjF0bzhpN1NreklMcTUzWUU3ajZoVVVDa1B6dnhiQlNXeWRpaFRrNUU3MTA3LUhuWF9oLWJNU0RUSUpCTFJEY3N3VGNhRkNaZTI1ZW1UUHM?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Alasan TNI Tetapkan 4 Anggota Terduga Pelaku Penyiraman Air Keras Andrie Yunus Kontras: Ada Kejanggalan - Liputan6.com,"Wed, 18 Mar 2026 08:27:57 GMT",Liputan6.com,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQdlVxbXJGRWV0X0ZyRlg4SmVkQW1mU0d3SEVlS0VCdVVLNGEtM2FUVXQ2cGwzMDY2a0lZQUkxZV9yNnJ5Mkl6aHlBSkZfc3JTUXdtUGlfSzdfNXM5U19FbV9JRXlPUG9UQUpfRWhSTXlZSnpId3FWSzBUaVVpSFNsUEIwY3pSWVVhNlNack5XMlE1UGt3Y29HRWpYdXByUU1Sem96Z3hoSXUzRElZT2M2QVg3VTFTNFlENEpQdmVnTG1jZEM0NUdfNXFheHNISldyaXdtdW4zX0RBbzVnRmc?oc=5&hl=en-ID&gl=ID&ceid=ID:en
